name,score,total_runtime,type,episodes,duration_minutes
"Ima, Soko ni Iru Boku",7.73,325.0,TV,13.0,25.0
Peace Maker Kurogane,7.39,576.0,TV,24.0,24.0
Pita Ten,7.03,624.0,TV,26.0,24.0
Power Stone,6.53,520.0,TV,26.0,20.0
RahXephon,7.49,598.0,TV,26.0,23.0
Samurai 7,7.56,676.0,TV,26.0,26.0
Scrapped Princess,7.47,552.0,TV,24.0,23.0
s.CRY.ed,7.43,624.0,TV,26.0,24.0
Shingetsutan Tsukihime,7.02,288.0,TV,12.0,24.0
Slam Dunk,8.54,2323.0,TV,101.0,23.0
Strange Dawn,6.52,260.0,TV,13.0,20.0
Tenjou Tenge,7.04,552.0,TV,24.0,23.0
Tokyo Underground,6.69,650.0,TV,26.0,25.0
Triangle Heart: Sweet Songs Forever,6.24,112.0,OVA,4.0,28.0
Tsubasa Chronicle,7.63,650.0,TV,26.0,25.0
Ultra Maniac,7.25,624.0,TV,26.0,24.0
Vandread,7.28,286.0,TV,13.0,22.0
Vandread: The Second Stage,7.49,286.0,TV,13.0,22.0
Whistle!,7.49,936.0,TV,39.0,24.0
Xenosaga The Animation,6.43,276.0,TV,12.0,23.0
Initial D Second Stage,8.16,299.0,TV,13.0,23.0
Gosenzo San'e,6.21,120.0,OVA,4.0,30.0
Love Hina,7.23,552.0,TV,24.0,23.0
Love Hina Again,7.32,90.0,OVA,3.0,30.0
Maburaho,6.91,576.0,TV,24.0,24.0
Macross Zero,7.62,150.0,OVA,5.0,30.0
Onegai☆Teacher,7.29,276.0,TV,12.0,23.0
Onegai☆Twins,6.97,300.0,TV,12.0,25.0
Rizelmine,6.61,360.0,TV,24.0,15.0
Speed Grapher,7.42,552.0,TV,24.0,23.0
Tenshi na Konamaiki,7.55,1200.0,TV,50.0,24.0
Video Girl Ai,7.27,174.0,OVA,6.0,29.0
Wolf's Rain,7.89,598.0,TV,26.0,23.0
Yumeria,6.2,288.0,TV,12.0,24.0
Samurai Champloo,8.5,624.0,TV,26.0,24.0
Lodoss-tou Senki: Eiyuu Kishi Den,7.22,648.0,TV,27.0,24.0
Lodoss-tou Senki,7.5,325.0,OVA,13.0,25.0
R.O.D: Read or Die,7.73,99.0,OVA,3.0,33.0
Ranma ½,7.84,3864.0,TV,161.0,24.0
Pure Mail,6.35,60.0,OVA,2.0,30.0
Pia Carrot e Youkoso!!,6.13,87.0,OVA,3.0,29.0
Pia Carrot e Youkoso!! 2,6.29,90.0,OVA,3.0,30.0
Pia Carrot e Youkoso!! 2 DX,6.42,168.0,OVA,6.0,28.0
Shin Angel,6.37,150.0,OVA,5.0,30.0
Kidou Senkan Nadesico,7.57,598.0,TV,26.0,23.0
Kuro no Danshou,5.93,120.0,OVA,4.0,30.0
Mezzo DSA,6.74,325.0,TV,13.0,25.0
Dragon Ball,8.14,3672.0,TV,153.0,24.0
Dragon Ball GT,6.65,1472.0,TV,64.0,23.0
Elfen Lied,7.72,325.0,TV,13.0,25.0
FLCL,8.07,150.0,OVA,6.0,25.0
Jigoku Shoujo,7.73,650.0,TV,26.0,25.0
Ninin ga Shinobuden,6.99,288.0,TV,12.0,24.0
Air Master,7.09,648.0,TV,27.0,24.0
Cardcaptor Sakura,8.21,1750.0,TV,70.0,25.0
Daa! Daa! Daa!,7.77,1950.0,TV,78.0,25.0
Dan Doh!!,6.74,624.0,TV,26.0,24.0
