Entity,Year,CO2_per_capita,Population,Poverty_rate
Costa Rica,2002,1.5323646,4075662,4.6752872
Costa Rica,2003,1.590468,4138747,4.724285
Costa Rica,2004,1.628959,4200031,4.663471
Costa Rica,2005,1.577824,4261187,3.3339496
Costa Rica,2006,1.6214393,4321299,3.3378456
Costa Rica,2007,1.817438,4380199,1.820663
Costa Rica,2008,1.7995332,4440009,2.42061
Costa Rica,2009,1.721821,4499743,2.4773993
Costa Rica,2010,1.6445944,4555924,1.4892362
Costa Rica,2011,1.5859368,4609777,1.7502996
Costa Rica,2012,1.5566587,4663890,1.673368
Costa Rica,2013,1.6181831,4716102,1.6425788
Costa Rica,2014,1.6253791,4767078,1.5053035
Costa Rica,2015,1.537158,4817996,1.5732268
Costa Rica,2016,1.6141378,4866954,1.3367381
Costa Rica,2017,1.6341954,4913126,1.1723511
Costa Rica,2018,1.6161269,4957764,1.5057526
Costa Rica,2019,1.5398297,4999502,1.0571395
Costa Rica,2020,1.344883,5034273,2.2913265
Costa Rica,2021,1.5113176,5059939,1.2421939
Costa Rica,2022,1.5442157,5081715,0.88687354
Costa Rica,2023,1.621601,5105469,0.88261974
Cote d'Ivoire,1985,0.69554603,10040434,8.229618
Cote d'Ivoire,1986,0.53411275,10440882,4.4354844
Cote d'Ivoire,1987,0.6773285,10851431,9.430369
Cote d'Ivoire,1988,0.78088534,11275141,13.449971
Cote d'Ivoire,1992,0.2911712,13200262,27.058142
Cote d'Ivoire,1995,0.41905874,14855524,25.906212
Cote d'Ivoire,1998,0.4053965,16663896,30.364796
Cote d'Ivoire,2008,0.31200534,21514392,34.41735
Cote d'Ivoire,2015,0.3784612,25246300,33.447136
Cote d'Ivoire,2018,0.37922928,27464125,11.502216
Cote d'Ivoire,2021,0.46117318,29639680,9.733192
Croatia,2009,5.0473332,4310491,0.85759926
Croatia,2010,4.8792653,4301108,1.2098455
Croatia,2011,4.817025,4280782,0.6253363
Croatia,2012,4.47417,4259181,0.78740203
Croatia,2013,4.3386483,4242353,0.72886807
Croatia,2014,4.184725,4219439,0.981814
Croatia,2015,4.255345,4183681,0.5948145
Croatia,2016,4.373376,4136388,0.61599094
Croatia,2017,4.5889683,4079152,0.5171488
Croatia,2018,4.39835,4024820,0.4375505
Croatia,2019,4.472901,3986292,0.25992584
Croatia,2020,4.2696104,3953898,0.31393388
Croatia,2021,4.436339,3924558,0.3080042
Cyprus,2004,7.6503687,1017824,0.094067946
Cyprus,2005,7.68084,1036110,0.0063513494
Cyprus,2006,7.7637644,1054370,0.018198818
Cyprus,2007,7.928219,1072674,0.025159188
Cyprus,2008,7.989783,1090985,0.008470222
Cyprus,2009,7.636368,1109330,0.11196495
Cyprus,2010,7.184269,1127771,0.036670096
Cyprus,2011,6.7939243,1146448,0.008045135
Cyprus,2012,6.2332525,1165359,0.0042377994
Cyprus,2013,5.561407,1183847,0.09701857
Cyprus,2014,5.7849126,1201763,0.0783298
Cyprus,2015,5.718032,1219450,0.026797833
Cyprus,2016,5.9616704,1237065,0.041149013
Cyprus,2017,5.9838886,1254213,0.032828864
Cyprus,2018,5.7629395,1270700,0.01650658
Cyprus,2019,5.70816,1286615,0.1538318
Cyprus,2020,5.3869967,1302202,0.012641975
Cyprus,2021,5.443375,1317269,0.0053034704
Czechia,2005,12.226614,10280103,0.004932986
Czechia,2006,12.27974,10304542,0.06581068
Czechia,2007,12.4175625,10337488,0.11590256
Czechia,2008,11.845438,10378248,0.032779835
Czechia,2009,11.033807,10420931,0.012035621
Czechia,2010,11.2267275,10463981,0.036178336
Czechia,2011,10.975148,10495455,0.046060845
