name,score,episodes,episode_group,type
Hellsing Ultimate,8.51,10.0,7-13,OVA
Gasaraki,6.7,25.0,14-26,TV
Miami Guns,6.57,13.0,7-13,TV
Otaku no Video,7.18,2.0,2-6,OVA
Pugyuru,5.79,13.0,7-13,TV
Eiken: Eikenbu yori Ai wo Komete,4.54,2.0,2-6,OVA
Shinigami no Ballad.,6.99,6.0,2-6,TV
Ergo Proxy,7.98,23.0,14-26,TV
Oniisama e...,7.85,39.0,27-52,TV
Hanaukyou Maid-tai OVA,6.76,3.0,2-6,OVA
Yomigaeru Sora: Rescue Wings,7.49,12.0,7-13,TV
Kokoro Toshokan,6.55,13.0,7-13,TV
NieA Under 7,6.91,13.0,7-13,TV
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.54,26.0,14-26,TV
Bakuretsu Hunters OVA,6.64,3.0,2-6,OVA
Android Ana Maico 2010,6.53,24.0,14-26,TV
I''s Pure,6.97,6.0,2-6,OVA
Chikyuu Shoujo Arjuna,6.93,13.0,7-13,TV
Nanako Kaitai Shinsho,5.74,6.0,2-6,OVA
Tactical Roar,6.5,13.0,7-13,TV
Sakura Tsuushin,6.28,12.0,7-13,OVA
Guardian Hearts,5.97,6.0,2-6,OVA
King of Fighters: Another Day,6.4,4.0,2-6,ONA
Uba,5.99,2.0,2-6,OVA
Jinshin Yuugi,5.82,2.0,2-6,OVA
Sexfriend,6.77,2.0,2-6,OVA
Chicchana Yukitsukai Sugar,7.15,24.0,14-26,TV
Ginsoukikou Ordian,5.76,24.0,14-26,TV
Choujuushin Gravion,6.45,13.0,7-13,TV
Sister Princess: Re Pure,6.32,13.0,7-13,TV
Sister Princess,6.51,26.0,14-26,TV
Kyou no 5 no 2,7.28,4.0,2-6,OVA
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.17,13.0,7-13,TV
Samurai Spirits 2: Asura Zanmaden,6.25,2.0,2-6,OVA
Narue no Sekai,6.65,12.0,7-13,TV
Colorful,6.18,16.0,14-26,TV
Ushio to Tora,7.23,10.0,7-13,OVA
Kiba,7.39,51.0,27-52,TV
School Rumble Ni Gakki,8.1,26.0,14-26,TV
Suzumiya Haruhi no Yuuutsu,7.97,14.0,14-26,TV
Gakuen Heaven,6.72,13.0,7-13,TV
Kyou kara Ore wa!!,8.11,10.0,7-13,OVA
Gokinjo Monogatari,7.52,50.0,27-52,TV
Ouran Koukou Host Club,8.32,26.0,14-26,TV
Soul Link,6.2,12.0,7-13,TV
Strawberry Panic,7.4,26.0,14-26,TV
Utawarerumono,7.73,26.0,14-26,TV
Air Gear,7.63,25.0,14-26,TV
Gunparade Orchestra,5.93,24.0,14-26,TV
Digimon Savers,7.06,48.0,27-52,TV
Makai Senki Disgaea,6.83,12.0,7-13,TV
xxxHOLiC,8.07,24.0,14-26,TV
Joshikousei: Girl's High,6.64,12.0,7-13,TV
Mobile Suit Gundam SEED MSV Astray,6.43,2.0,2-6,OVA
Kikou Senki Dragonar,6.78,48.0,27-52,TV
Dragon Half,6.97,2.0,2-6,OVA
Mahou Shoujo-tai Arusu,7.17,40.0,27-52,TV
.hack//Roots,7.01,26.0,14-26,TV
Digimon Tamers,7.66,51.0,27-52,TV
Street Fighter II V,7.13,29.0,27-52,TV
Nana,8.49,47.0,27-52,TV
Zegapain,7.4,26.0,14-26,TV
Simoun,7.52,26.0,14-26,TV
Aa! Megami-sama!: Sorezore no Tsubasa,7.65,22.0,14-26,TV
Amaenaide yo!! Katsu!!,6.81,12.0,7-13,TV
Black Lagoon,8.12,12.0,7-13,TV
Yuusha-Ou GaoGaiGar,7.92,49.0,27-52,TV
Princess Princess,7.11,12.0,7-13,TV
Geneshaft,6.43,13.0,7-13,TV
Himawari!,6.4,13.0,7-13,TV
Ninkuu,7.11,55.0,53-100,TV
Kakutou Bijin Wulong,6.7,25.0,14-26,TV
Ike! Ina-chuu Takkyuubu,7.64,26.0,14-26,TV
Ginga Densetsu Weed,7.3,26.0,14-26,TV
Tokkou,6.66,13.0,7-13,TV
Ray The Animation,6.72,13.0,7-13,TV
Nurse Witch Komugi-chan Magikarte Z,6.77,2.0,2-6,OVA
Transformers: Choujin Master Force,6.78,47.0,27-52,TV
Transformers Headmasters,6.6,35.0,27-52,TV
Transformers Victory,6.77,44.0,27-52,TV
Transformers Superlink,6.28,51.0,27-52,TV
Seisenshi Dunbine,7.17,49.0,27-52,TV
Densetsu Kyojin Ideon,7.0,39.0,27-52,TV
Dai Mahou Touge,7.04,4.0,2-6,OVA
Higurashi no Naku Koro ni,8.08,26.0,14-26,TV
Witchblade,7.35,24.0,14-26,TV
Shin Getter Robo tai Neo Getter Robo,7.15,4.0,2-6,OVA
Inukami!,7.34,26.0,14-26,TV
Renkin San-kyuu Magical? Pokaan,7.06,12.0,7-13,TV
Nishi no Yoki Majo: Astraea Testament,6.86,13.0,7-13,TV
Yume Tsukai,6.49,12.0,7-13,TV
The Third: Aoi Hitomi no Shoujo,7.37,24.0,14-26,TV
Top wo Nerae! Gunbuster,7.93,6.0,2-6,OVA
Magical Nyan Nyan Taruto,6.37,12.0,7-13,TV
Jyu Oh Sei,7.34,11.0,7-13,TV
Daikuu Maryuu Gaiking,6.89,44.0,27-52,TV
Saiunkoku Monogatari,8.03,39.0,27-52,TV
HeatGuy J,7.27,25.0,14-26,TV
Shin Chou Kyou Ryo: Condor Hero,7.47,26.0,14-26,TV
Shin Chou Kyou Ryo: Condor Hero II,7.45,26.0,14-26,TV
Virtua Fighter,7.13,35.0,27-52,TV
Aria The Natural,8.25,26.0,14-26,TV
Hit wo Nerae!,5.57,8.0,7-13,TV
Yoshinaga-san'chi no Gargoyle,6.85,13.0,7-13,TV
Kakutou Bijin Wulong: Rebirth,7.02,25.0,14-26,TV
Tsubasa Chronicle 2nd Season,7.68,26.0,14-26,TV
Yokoyama Mitsuteru Sangokushi,7.45,47.0,27-52,TV
Astro Boy: Tetsuwan Atom,7.02,50.0,27-52,TV
Bible Black Gaiden,6.85,2.0,2-6,OVA
Glass no Kantai: La Legende du Vent de l'Univers,6.62,24.0,14-26,TV
Yokohama Kaidashi Kikou,7.33,2.0,2-6,OVA
Yokohama Kaidashi Kikou: Quiet Country Cafe,7.26,2.0,2-6,OVA
Change!! Getter Robo: Sekai Saigo no Hi,7.75,13.0,7-13,OVA
Ichigo 100% OVA,6.98,4.0,2-6,OVA
Kamisama Kazoku,7.21,13.0,7-13,TV
Usagi-chan de Cue!!,5.73,3.0,2-6,OVA
Dual Parallel! Trouble Adventures,7.15,13.0,7-13,TV
Tennis no Ouji-sama: Zenkoku Taikai-hen,8.04,13.0,7-13,OVA
Bishoujo Senshi Sailor Moon: Sailor Stars,7.99,34.0,27-52,TV
Blue Seed,7.09,26.0,14-26,TV
Blue Seed 2,6.53,3.0,2-6,OVA
Uchuu Kaizoku Captain Herlock,7.8,42.0,27-52,TV
Top wo Nerae 2! Diebuster,7.74,6.0,2-6,OVA
Aa! Megami-sama! (TV) Specials,7.58,3.0,2-6,Special
Star Ocean EX,6.66,26.0,14-26,TV
Ranma ½ OVA,7.83,6.0,2-6,OVA
Ranma ½ Specials,7.73,2.0,2-6,OVA
Ranma ½ Super,7.75,3.0,2-6,OVA
Sexy Commando Gaiden: Sugoiyo!! Masaru-san Specials,6.56,2.0,2-6,Special
Le Chevalier D'Eon,7.31,24.0,14-26,TV
Chicchana Yukitsukai Sugar Specials,7.07,2.0,2-6,Special
Gunnm,7.2,2.0,2-6,OVA
Majutsushi Orphen,7.26,24.0,14-26,TV
Majutsushi Orphen: Revenge,6.92,23.0,14-26,TV
Honoo no Mirage,6.68,13.0,7-13,TV
Kaikan Phrase,7.5,44.0,27-52,TV
Generator Gawl,7.05,12.0,7-13,TV
Wolf's Rain OVA,8.09,4.0,2-6,OVA
Kachou Ouji,7.08,13.0,7-13,TV
Yakumotatsu,6.19,2.0,2-6,OVA
Patalliro Saiyuuki!,6.78,26.0,14-26,TV
Kashou no Tsuki: Aki Kyougen,6.03,2.0,2-6,OVA
Saint Beast: Seijuu Kourin-hen,6.05,6.0,2-6,TV
Mizuiro,5.98,2.0,2-6,OVA
Mizuiro (2003),6.5,2.0,2-6,OVA
Tokyo Babylon,6.78,2.0,2-6,OVA
Elf wo Karu Mono-tachi II,7.12,12.0,7-13,TV
The SoulTaker: Tamashii-gari,6.44,13.0,7-13,TV
Bobobo-bo Bo-bobo,7.57,76.0,53-100,TV
Tokyo Juushouden,5.52,3.0,2-6,OVA
Tokyo Daigaku Monogatari,5.17,2.0,2-6,OVA
Ippatsu Kiki Musume,6.35,16.0,14-26,TV
Kidou Shinsengumi Moeyo Ken,5.72,4.0,2-6,OVA
Oruchuban Ebichu,7.48,24.0,14-26,TV
Nekojiru Gekijou Jirujiru Original,6.58,27.0,27-52,TV
Mazinkaiser,7.41,7.0,7-13,OVA
Shakugan no Shana Specials,7.18,4.0,2-6,Special
Kishin Houkou Demonbane (TV),6.64,12.0,7-13,TV
Chou Denji Robo Combattler V,6.84,54.0,53-100,TV
Chou Denji Machine Voltes V,7.52,40.0,27-52,TV
Love Get Chu,6.67,25.0,14-26,TV
Sweat Punch,7.51,5.0,2-6,OVA
Armitage III,7.13,4.0,2-6,OVA
Sentou Yousei Yukikaze,7.25,5.0,2-6,OVA
Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,7.42,13.0,7-13,OVA
Hikari to Mizu no Daphne,6.83,24.0,14-26,TV
Human Crossing,6.42,13.0,7-13,TV
I''s,6.06,2.0,2-6,OVA
Interlude,6.56,3.0,2-6,OVA
Kenran Butou Sai: The Mars Daybreak,7.23,26.0,14-26,TV
Kimagure Orange☆Road,7.65,48.0,27-52,TV
Macross,8.02,36.0,27-52,TV
Lime-iro Senkitan,6.08,13.0,7-13,TV
Samurai Girl Real Bout High School,6.02,13.0,7-13,TV
Soreyuke! Uchuu Senkan Yamamoto Yohko,6.24,3.0,2-6,OVA
Urda,4.72,5.0,2-6,ONA
Shinkon Gattai Godannar!!,6.77,13.0,7-13,TV
Shinkon Gattai Godannar!! 2nd Season,7.03,13.0,7-13,TV
Senkaiden Houshin Engi,7.19,26.0,14-26,TV
Mermaid Melody Pichi Pichi Pitch Pure,7.19,39.0,27-52,TV
One: Kagayaku Kisetsu e - True Stories,6.4,3.0,2-6,OVA
Bouken Ou Beet Excellion,6.79,25.0,14-26,TV
Figure 17: Tsubasa & Hikaru,7.3,13.0,7-13,TV
UFO Princess Valkyrie,6.84,12.0,7-13,TV
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,7.06,12.0,7-13,TV
Digimon Frontier,7.24,50.0,27-52,TV
Tenchi Muyou! GXP,7.23,26.0,14-26,TV
Betterman,6.68,26.0,14-26,TV
Mushrambo,7.07,32.0,27-52,TV
Medarot,7.12,52.0,27-52,TV
Monkey Magic,6.08,13.0,7-13,TV
Hachimitsu to Clover II,8.32,12.0,7-13,TV
Kaze no Youjinbou,7.23,25.0,14-26,TV
Teito Monogatari,6.02,4.0,2-6,OVA
Choujuushin Gravion Zwei,6.7,12.0,7-13,TV
Dominion,7.02,4.0,2-6,OVA
New Dominion Tank Police,7.02,6.0,2-6,OVA
Crying Freeman,6.56,6.0,2-6,OVA
Melty Lancer,6.01,6.0,2-6,OVA
I: Wish You Were Here,6.14,4.0,2-6,TV
Final Fantasy: Unlimited,6.28,25.0,14-26,TV
Geobreeders: File-X Chibi Neko Dakkan,6.42,3.0,2-6,OVA
Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,6.49,4.0,2-6,OVA
Maze☆Bakunetsu Jikuu (TV),6.74,25.0,14-26,TV
Maze☆Bakunetsu Jikuu,6.19,2.0,2-6,OVA
Neo Ranga,6.52,48.0,27-52,TV
Mahou Senshi Louie,7.22,24.0,14-26,TV
Sakura Taisen: Ouka Kenran,6.66,4.0,2-6,OVA
Sakura Taisen: Gouka Kenran,6.94,6.0,2-6,OVA
Samurai Gun,6.08,12.0,7-13,TV
Musekinin Kanchou Tylor OVA,7.29,10.0,7-13,OVA
Green Legend Ran,6.81,3.0,2-6,OVA
Slayers Excellent,7.4,3.0,2-6,OVA
Slayers Try,7.9,26.0,14-26,TV
Unkai no Meikyuu Zeguy,5.75,2.0,2-6,OVA
Detonator Orgun,6.56,3.0,2-6,OVA
Gakuen Senki Muryou,7.16,26.0,14-26,TV
Hyper Police,7.03,25.0,14-26,TV
Shamanic Princess,6.72,6.0,2-6,OVA
Variable Geo,5.73,3.0,2-6,OVA
Lost Universe,7.06,26.0,14-26,TV
Battle Athletess Daiundoukai,6.57,6.0,2-6,OVA
Battle Athletess Daiundoukai (TV),6.99,26.0,14-26,TV
DNA² OVA,6.66,3.0,2-6,OVA
Momoiro Sisters,6.21,24.0,14-26,TV
Eden's Bowy,6.6,26.0,14-26,TV
Saber Marionette J Again,7.29,6.0,2-6,OVA
Happy Seven: The TV Manga,6.41,13.0,7-13,TV
Coyote Ragtime Show,6.7,12.0,7-13,TV
Zero no Tsukaima,7.51,13.0,7-13,TV
Masuda Kousuke Gekijou Gag Manga Biyori,7.31,12.0,7-13,TV
Tsuyokiss,6.67,12.0,7-13,TV
Aru Tabibito no Nikki,7.21,6.0,2-6,ONA
NHK ni Youkoso!,8.37,24.0,14-26,TV
Oban Star-Racers,7.53,26.0,14-26,TV
Binbou Shimai Monogatari,6.92,10.0,7-13,TV
Mobile Suit Gundam SEED C.E.73: Stargazer,7.21,3.0,2-6,ONA
Tonagura!,6.81,13.0,7-13,TV
Chocotto Sister,6.85,24.0,14-26,TV
Demashita! Powerpuff Girls Z,6.4,52.0,27-52,TV
Bokura ga Ita,7.44,26.0,14-26,TV
Aquarian Age: Sign for Evolution,6.19,13.0,7-13,TV
3x3 Eyes Seima Densetsu,7.06,3.0,2-6,OVA
Seihou Tenshi Angel Links,6.02,13.0,7-13,TV
Shuten Douji,5.84,4.0,2-6,OVA
Chivas 1-2-3,6.1,2.0,2-6,OVA
Innocent Venus,6.9,12.0,7-13,TV
Saber Marionette J to X,7.37,26.0,14-26,TV
Saber Marionette R,6.69,3.0,2-6,OVA
Aozora Shoujo-tai,6.56,7.0,7-13,OVA
I''s Pure Bonus,6.55,5.0,2-6,Special
SF Saiyuuki Starzinger,7.21,73.0,53-100,TV
Bishoujo Senshi Sailor Moon SuperS,7.65,39.0,27-52,TV
Night Head Genesis,6.84,24.0,14-26,TV
Ankoku Shindenshou Takegami,5.64,3.0,2-6,OVA
Yuugo: Koushounin,7.21,13.0,7-13,TV
Project BLUE Chikyuu SOS,6.78,6.0,2-6,TV
"Zone of the Enders: Dolores, I",7.02,26.0,14-26,TV
Erementar Gerad,7.38,26.0,14-26,TV
Fushigi no Umi no Nadia,7.6,39.0,27-52,TV
Saint Seiya: Meiou Hades Meikai-hen,7.89,12.0,7-13,OVA
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.18,13.0,7-13,OVA
Kyattou Ninden Teyandee,7.15,54.0,53-100,TV
Macross II: Lovers Again,6.42,6.0,2-6,OVA
Suika,6.58,3.0,2-6,OVA
Yoroiden Samurai Troopers,7.18,39.0,27-52,TV
Yoroiden Samurai Troopers Gaiden,6.77,2.0,2-6,OVA
Yoroiden Samurai Troopers Kikoutei Densetsu,6.75,4.0,2-6,OVA
Yoroiden Samurai Troopers Message,6.1,5.0,2-6,OVA
Kyoukasho ni Nai!,5.7,2.0,2-6,OVA
Injuu Gakuen La Blue Girl,6.3,6.0,2-6,OVA
Injuu Gakuen La☆Blue Girl: Fukkatsu-hen,6.26,4.0,2-6,OVA
Injuu Gakuen EX,6.24,4.0,2-6,OVA
Can Can Bunny Extra,6.28,6.0,2-6,OVA
Ys,6.54,7.0,7-13,OVA
Ys: Tenkuu no Shinden - Adol Christine no Bouken,6.73,4.0,2-6,OVA
Taiyou no Ko Esteban,7.71,39.0,27-52,TV
Mamono Hunter Youko,6.37,6.0,2-6,OVA
Gakkou no Kaidan,7.73,19.0,14-26,TV
Choujuu Densetsu Gestalt,6.17,2.0,2-6,OVA
Houma Hunter Lime,6.09,3.0,2-6,OVA
Kidou Keisatsu Patlabor,7.36,7.0,7-13,OVA
Kidou Keisatsu Patlabor: New OVA,7.55,16.0,14-26,OVA
Afro Samurai,7.41,5.0,2-6,TV
A-Ko The Versus,6.39,2.0,2-6,OVA
Flag,7.27,13.0,7-13,ONA
Omishi Mahou Gekijou: Risky★Safety,6.75,24.0,14-26,TV
Chikyuu Bouei Kigyou Dai-Guard,7.21,26.0,14-26,TV
Digimon Adventure 02,7.34,50.0,27-52,TV
DT Eightron,6.4,26.0,14-26,TV
Idaten Jump,6.91,52.0,27-52,TV
Earthian,6.22,4.0,2-6,OVA
Hamelin no Violin Hiki,6.69,25.0,14-26,TV
Aoki Densetsu Shoot!,7.48,58.0,53-100,TV
Dragon Pink,6.23,3.0,2-6,OVA
Elf no Wakaokusama,6.02,2.0,2-6,OVA
Fushigi na Koala Blinky,6.39,26.0,14-26,TV
Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi,7.24,26.0,14-26,Special
Kyoushoku Soukou Guyver II,7.14,6.0,2-6,OVA
Dororon Enma-kun,6.31,25.0,14-26,TV
Shin Megami Tensei: Tokyo Mokushiroku,5.56,2.0,2-6,OVA
Cool Devices,6.34,11.0,7-13,OVA
Eightman After,6.31,4.0,2-6,OVA
AD Police,6.37,3.0,2-6,OVA
Bubblegum Crisis,7.33,8.0,7-13,OVA
Bubblegum Crash,6.63,3.0,2-6,OVA
A.D. Police (TV),6.09,12.0,7-13,TV
Parasite Dolls,6.62,3.0,2-6,OVA
Angel Cop,5.97,6.0,2-6,OVA
Cyber City Oedo 808,7.22,3.0,2-6,OVA
The Urotsuki,5.84,3.0,2-6,OVA
Makyuu Senjou,5.19,2.0,2-6,OVA
Hokuto no Ken 2,7.59,43.0,27-52,TV
Shin Hokuto no Ken,7.03,3.0,2-6,OVA
Nikutai Ten'i,6.39,2.0,2-6,OVA
Makai Tenshi Djibril,6.55,4.0,2-6,OVA
Hi no Tori,7.22,13.0,7-13,TV
Taiho Shichau zo (TV),7.58,47.0,27-52,TV
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,7.35,4.0,2-6,Special
Kyoushoku Soukou Guyver (2005),7.34,26.0,14-26,TV
Ojamajo Doremi Na-i-sho,7.78,13.0,7-13,OVA
Yuusha-Ou GaoGaiGar Final,8.16,8.0,7-13,OVA
Kyuuketsuhime Miyu,7.08,4.0,2-6,OVA
Kurohime: Shikkoku no Yakata,6.02,2.0,2-6,OVA
Blood Royale,5.71,2.0,2-6,OVA
Yakin Byoutou,6.48,10.0,7-13,OVA
Yakin Byoutou Ni,6.27,5.0,2-6,OVA
Yakin Byoutou San,6.38,3.0,2-6,OVA
Parade Parade,6.08,2.0,2-6,OVA
Future GPX Cyber Formula,7.47,37.0,27-52,TV
Future GPX Cyber Formula 11,7.43,6.0,2-6,OVA
Future GPX Cyber Formula Zero,7.59,8.0,7-13,OVA
Future GPX Cyber Formula Saga,7.55,8.0,7-13,OVA
Future GPX Cyber Formula Sin,7.62,5.0,2-6,OVA
Macross Dynamite 7,6.92,4.0,2-6,OVA
Macross 7 Encore,7.03,3.0,2-6,OVA
Bible Black: New Testament,6.91,6.0,2-6,OVA
Princess Memory,5.72,2.0,2-6,OVA
Tsumamigui,6.55,2.0,2-6,OVA
Flutter of Birds: Tori-tachi no Habataki,5.79,2.0,2-6,OVA
Tokio Kidou Police,6.07,2.0,2-6,OVA
Gibo,6.07,2.0,2-6,OVA
Stainless Night,6.19,2.0,2-6,OVA
Kao no nai Tsuki,6.78,5.0,2-6,OVA
IGPX: Immortal Grand Prix,6.68,5.0,2-6,TV
IGPX: Immortal Grand Prix (2005) 2nd Season,7.35,13.0,7-13,TV
VS Knight Lamune & 40 Fresh,5.79,6.0,2-6,OVA
Lupin III,7.72,23.0,14-26,TV
Lupin III: Part III,7.42,50.0,27-52,TV
Alexander Senki,5.77,13.0,7-13,TV
Sol Bianca,6.44,2.0,2-6,OVA
Sol Bianca: Taiyou no Fune,6.43,6.0,2-6,OVA
Hyakujuu-Ou GoLion,6.93,52.0,27-52,TV
Brigadoon: Marin to Melan,7.37,26.0,14-26,TV
Maison Ikkoku,8.24,96.0,53-100,TV
Makai Tenshou,5.27,2.0,2-6,OVA
L/R: Licensed by Royal,6.58,12.0,7-13,TV
Key the Metal Idol,7.02,15.0,14-26,OVA
Uchuu no Kishi Tekkaman,6.37,26.0,14-26,TV
Uchuu no Kishi Tekkaman Blade,7.54,49.0,27-52,TV
Uchuu no Kishi Tekkaman Blade II,6.39,6.0,2-6,OVA
Hakaima Sadamitsu,6.99,10.0,7-13,TV
Hakugei Densetsu,6.65,26.0,14-26,TV
Monster Farm: Enbanseki no Himitsu,6.88,48.0,27-52,TV
City Hunter,7.99,51.0,27-52,TV
City Hunter 2,8.1,63.0,53-100,TV
City Hunter 3,7.92,13.0,7-13,TV
City Hunter '91,7.87,13.0,7-13,TV
Master Keaton,7.68,24.0,14-26,TV
Youma,6.17,2.0,2-6,OVA
Akachan to Boku,7.96,35.0,27-52,TV
Area 88,7.61,3.0,2-6,OVA
Renkin San-kyuu Magical? Pokaan Specials,7.0,3.0,2-6,Special
Ginga Tetsudou Monogatari,7.25,26.0,14-26,TV
Project ARMS,7.09,26.0,14-26,TV
Project ARMS: The 2nd Chapter,7.17,26.0,14-26,TV
Maetel Legend,6.48,2.0,2-6,OVA
Black Blood Brothers,7.22,12.0,7-13,TV
MaMa,5.38,2.0,2-6,OVA
Teizokurei Daydream,6.29,4.0,2-6,OVA
Mahou Shoujo Pretty Sammy (1996),6.82,26.0,14-26,TV
Sci-fi Harry,6.27,20.0,14-26,TV
Mamotte! Lollipop,6.9,13.0,7-13,TV
Imouto de Ikou!,6.33,2.0,2-6,OVA
Gakuen: Chijoku no Zushiki,5.58,2.0,2-6,OVA
Court no Naka no Tenshi-tachi,5.92,2.0,2-6,OVA
Kaette Kita Court no Naka no Tenshi-tachi,5.92,2.0,2-6,OVA
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,7.06,6.0,2-6,OVA
Silent Möbius,6.88,26.0,14-26,TV
Black Lagoon: The Second Barrage,8.25,12.0,7-13,TV
Black Jack,7.83,12.0,7-13,OVA
Fuujin Monogatari,7.29,13.0,7-13,TV
Bishoujo Yuugekitai Battle Skipper,5.29,3.0,2-6,OVA
De:vadasy,4.8,3.0,2-6,OVA
Kanon (2006),8.09,24.0,14-26,TV
Suki na Mono wa Suki Dakara Shou ga Nai!!,6.87,12.0,7-13,TV
Ai Tenshi Densetsu Wedding Peach,6.77,51.0,27-52,TV
Futari wa Precure: Splash☆Star,7.22,49.0,27-52,TV
Death Note,8.66,37.0,27-52,TV
Busou Renkin,7.44,26.0,14-26,TV
Genshi Shounen Ryuu,6.41,22.0,14-26,TV
Pumpkin Scissors,7.22,24.0,14-26,TV
Souten no Ken,6.76,22.0,14-26,TV
Brain Powerd,6.19,26.0,14-26,TV
Yoake Mae yori Ruriiro na: Crescent Love,7.2,12.0,7-13,TV
Super Robot Taisen OG The Animation,6.73,3.0,2-6,OVA
Negima!?,7.13,26.0,14-26,TV
Shin Taketori Monogatari: 1000-nen Joou,7.35,42.0,27-52,TV
Queen Emeraldas,6.97,4.0,2-6,OVA
Asatte no Houkou.,7.11,12.0,7-13,TV
Tokimeki Memorial: Only Love,7.14,25.0,14-26,TV
Kikoushi Enma,7.22,4.0,2-6,OVA
Shounen Onmyouji,7.66,26.0,14-26,TV
Shijou Saikyou no Deshi Kenichi,8.21,50.0,27-52,TV
Choujin Gakuen Gowcaizer: The Voltage Fighters,5.05,3.0,2-6,OVA
Lovedol: Lovely Idol,6.24,12.0,7-13,TV
Yamato Nadeshiko Shichihenge♥,7.85,25.0,14-26,TV
Magic Knight Rayearth II,7.59,29.0,27-52,TV
Kaitou Saint Tail,7.64,43.0,27-52,TV
Sumomomo Momomo: Chijou Saikyou no Yome,7.01,22.0,14-26,TV
Otome wa Boku ni Koishiteru,7.13,12.0,7-13,TV
Happiness!,6.5,12.0,7-13,TV
Ghost Hunt,7.9,25.0,14-26,TV
Kishin Douji Zenki,7.07,51.0,27-52,TV
Get Ride! AMDriver,6.45,51.0,27-52,TV
Code Geass: Hangyaku no Lelouch,8.77,25.0,14-26,TV
Bakumatsu Kikansetsu Irohanihoheto,7.18,26.0,14-26,ONA
Taiho Shichau zo,7.5,4.0,2-6,OVA
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,6.98,13.0,7-13,TV
Kiniro no Corda: Primo Passo,7.61,25.0,14-26,TV
Mouryou Senki Madara,6.21,2.0,2-6,OVA
Gift: Eternal Rainbow,6.72,12.0,7-13,TV
Submarine 707R,6.33,2.0,2-6,OVA
009-1,6.33,12.0,7-13,TV
Stratos 4 Advance Kanketsu-hen,7.02,2.0,2-6,OVA
Spectral Force,4.0,2.0,2-6,OVA
Aoi Umi no Tristia,5.77,2.0,2-6,OVA
Tenpou Ibun: Ayakashi Ayashi,6.97,25.0,14-26,TV
Mamoru-kun ni Megami no Shukufuku wo!,7.16,24.0,14-26,TV
Bartender,7.45,11.0,7-13,TV
Legendz: Yomigaeru Ryuuou Densetsu,7.43,50.0,27-52,TV
Kujibiki♥Unbalance,6.34,12.0,7-13,TV
Hataraki Man,7.09,11.0,7-13,TV
Jigoku Shoujo Futakomori,8.02,26.0,14-26,TV
Inma Daitoshi: Beast City,5.74,3.0,2-6,OVA
Arcade Gamer Fubuki,5.31,4.0,2-6,OVA
Panyo Panyo Di Gi Charat,6.8,48.0,27-52,TV
Casshern: Robot Hunter,6.45,4.0,2-6,OVA
Eat-Man '98,6.85,12.0,7-13,TV
Galaxy Angel Rune,6.47,13.0,7-13,TV
Red Garden,7.16,22.0,14-26,TV
Soukou no Strain,7.11,13.0,7-13,TV
Super Robot Taisen OG: Divine Wars,6.9,25.0,14-26,TV
Kekkaishi,7.68,52.0,27-52,TV
Venus Versus Virus,6.47,12.0,7-13,TV
Salaryman Kintarou,7.59,20.0,14-26,TV
Mai-Otome Zwei,7.32,4.0,2-6,OVA
Captain Tsubasa: Road to 2002,7.46,52.0,27-52,TV
Massugu ni Ikou.,6.6,4.0,2-6,TV
Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),6.71,26.0,14-26,TV
Maps,5.89,4.0,2-6,OVA
G-On Riders,5.91,13.0,7-13,TV
Maou Dante,6.2,13.0,7-13,TV
Devilman Lady,6.79,26.0,14-26,TV
Yousei Hime Ren,6.2,2.0,2-6,OVA
Shintaisou: Shin,6.18,2.0,2-6,OVA
Shintaisou: Kari,6.41,4.0,2-6,OVA
Ai Shimai: Futari no Kajitsu,6.58,3.0,2-6,OVA
Ai Shimai 2: Futari no Kajitsu,6.58,2.0,2-6,OVA
Ai Shimai Tsubomi... Kegashite Kudasai,6.16,2.0,2-6,OVA
Peter Pan no Bouken,6.87,41.0,27-52,TV
Angel's Feather,5.56,2.0,2-6,OVA
Sugar Sugar Rune,7.53,51.0,27-52,TV
Sailor Victory,5.87,2.0,2-6,OVA
Princess Rouge,5.88,2.0,2-6,OVA
Herlock Saga: Nibelung no Yubiwa,6.81,6.0,2-6,OVA
Kakugo no Susume,4.52,2.0,2-6,OVA
UFO Princess Valkyrie 4: Toki to Yume to Ginga no Utage,6.95,2.0,2-6,OVA
Uchuu Senkan Yamato,7.67,26.0,14-26,TV
Uchuu Senkan Yamato 2,7.55,26.0,14-26,TV
Uchuu Senkan Yamato III,7.21,25.0,14-26,TV
Nerima Daikon Brothers,7.43,12.0,7-13,TV
PostPet Momobin,5.48,24.0,14-26,TV
Byston Well Monogatari: Garzey no Tsubasa,4.19,3.0,2-6,OVA
Mai-Otome Specials,7.06,9.0,7-13,Special
Kurogane Communication,6.71,24.0,14-26,TV
