name,score,episodes,episode_group,type
Saishuu Heiki Kanojo: Another Love Song,7.17,2.0,2-6,OVA
Platonic Chain,5.65,24.0,14-26,TV
PetoPeto-san,6.58,13.0,7-13,TV
Onmyou Taisenki,7.25,52.0,27-52,TV
Okusama wa Mahou Shoujo,6.37,13.0,7-13,TV
Nurse Witch Komugi-chan Magikarte,6.71,5.0,2-6,OVA
Nurse Angel Ririka SOS,6.78,35.0,27-52,TV
Juubee Ninpuuchou: Ryuuhougyoku-hen,6.75,13.0,7-13,TV
Mermaid Forest,7.12,13.0,7-13,TV
Night Walker: Mayonaka no Tantei,7.03,12.0,7-13,TV
Natsu-iro no Sunadokei,6.63,2.0,2-6,OVA
Mouse,6.13,12.0,7-13,TV
Moekan The Animation,5.67,3.0,2-6,OVA
Major S1,8.37,26.0,14-26,TV
Mahoutsukai Tai! OVA,7.2,6.0,2-6,OVA
Mahoutsukai Tai!,6.88,13.0,7-13,TV
Legend of Basara,7.41,13.0,7-13,TV
Koi Kaze,7.25,13.0,7-13,TV
Juubee-chan: Lovely Gantai no Himitsu,6.71,13.0,7-13,TV
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.94,13.0,7-13,TV
Iketeru Futari,6.72,16.0,14-26,TV
Hachimitsu to Clover Specials,7.78,2.0,2-6,Special
Haunted Junction,6.79,12.0,7-13,TV
Harukanaru Toki no Naka de: Ajisai Yumegatari,6.36,2.0,2-6,OVA
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,6.22,13.0,7-13,TV
Hanaukyou Maid-tai: La Verite,6.86,12.0,7-13,TV
Gunsmith Cats,7.26,3.0,2-6,OVA
Galaxy Angel Z,7.25,9.0,7-13,TV
Galaxy Angel 3,7.39,26.0,14-26,TV
Galaxy Angel 4,7.31,13.0,7-13,TV
Air in Summer,7.4,2.0,2-6,Special
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.98,26.0,14-26,TV
Denshin Mamotte Shugogetten,6.58,8.0,7-13,OVA
Elf-ban Kakyuusei: Anata dake wo Mitsumete...,6.34,4.0,2-6,OVA
JoJo no Kimyou na Bouken: Adventure,7.21,7.0,7-13,OVA
JoJo no Kimyou na Bouken,7.42,6.0,2-6,OVA
Kashimashi: Girl Meets Girl,6.74,12.0,7-13,TV
Koi Koi 7,5.89,13.0,7-13,TV
Kujibiki Unbalance,6.16,3.0,2-6,OVA
Lamune,6.9,12.0,7-13,TV
Lemon Angel Project,6.72,13.0,7-13,TV
Mai-HiME Specials,7.01,27.0,27-52,Special
One: Kagayaku Kisetsu e,5.24,4.0,2-6,OVA
Refrain Blue,5.83,3.0,2-6,OVA
Sentimental Journey,6.42,12.0,7-13,TV
Shadow Skill: Eigi,7.19,26.0,14-26,TV
Shadow Skill (1996),6.67,3.0,2-6,OVA
Otogi Story Tenshi no Shippo,6.63,12.0,7-13,TV
Otogi Story Tenshi no Shippo Specials,6.49,2.0,2-6,OVA
Tenshi no Shippo Chu!,6.6,11.0,7-13,TV
To Heart: Remember My Memories,6.51,13.0,7-13,TV
To Heart: Remember My Memories Specials,6.21,7.0,7-13,Special
Tokyo Mew Mew,7.05,52.0,27-52,TV
Uta Kata,6.81,12.0,7-13,TV
Kyuuketsuhime Miyu (TV),7.21,26.0,14-26,TV
Dousou Kai,5.84,4.0,2-6,OVA
Burn Up Scramble,6.28,12.0,7-13,TV
Canvas 2: Niji-iro no Sketch,6.84,24.0,14-26,TV
Canvas: Sepia-iro no Motif,5.75,2.0,2-6,OVA
Tenchi Muyou!,7.51,26.0,14-26,TV
Comic Party Revolution,6.62,13.0,7-13,TV
Patapata Hikousen no Bouken,7.62,26.0,14-26,TV
Mujin Wakusei Survive,7.73,52.0,27-52,TV
Rec,7.4,9.0,7-13,TV
Zoids Genesis,7.33,50.0,27-52,TV
High School! Kimengumi,7.41,86.0,53-100,TV
Yume de Aetara,6.55,3.0,2-6,OVA
Yume de Aetara (TV),6.55,16.0,14-26,TV
Ai no Kusabi,7.28,2.0,2-6,OVA
Enzai,5.45,2.0,2-6,OVA
Kingyo Chuuihou!,6.89,54.0,53-100,TV
Hiatari Ryoukou!,7.17,48.0,27-52,TV
Houkago no Shokuinshitsu,5.21,2.0,2-6,OVA
Kizuna,6.39,2.0,2-6,OVA
Bishoujo Senshi Sailor Moon R,7.75,43.0,27-52,TV
Trouble Chocolate,6.67,20.0,14-26,TV
Papa to Kiss in the Dark,6.34,2.0,2-6,OVA
Haru wo Daite Ita,6.91,2.0,2-6,OVA
True Love Story,6.15,3.0,2-6,OVA
Nanami-chan,6.22,12.0,7-13,TV
Binchou-tan,6.96,12.0,7-13,TV
Bomberman Jetters,7.02,52.0,27-52,TV
Chijoku Shinsatsushitsu,6.37,2.0,2-6,OVA
Yuki no Joou (TV),7.14,36.0,27-52,TV
Boku no Sexual Harassment,5.87,3.0,2-6,OVA
Zoids,7.46,67.0,53-100,TV
Zoids Shinseiki/Zero,7.42,26.0,14-26,TV
Chou Henshin Cosprayers Specials,5.06,3.0,2-6,Special
Burn Up! W,6.45,4.0,2-6,OVA
Ginyuu Mokushiroku Meine Liebe Wieder,6.77,13.0,7-13,TV
Tenamonya Voyagers,6.26,4.0,2-6,OVA
Nanaka 6/17,6.7,12.0,7-13,TV
