Year,Genre,Average Score,Count
2017.0,Shounen,7.108125,48
2017.0,Slice of Life,6.6035714285714295,84
2017.0,School,6.940833333333334,72
2018.0,Comedy,6.68610810810811,185
2018.0,Action,6.958888888888889,117
2018.0,Adventure,6.8774999999999995,64
2018.0,Fantasy,6.726868686868687,99
2018.0,Sci-Fi,6.441521739130436,46
2018.0,Drama,6.897903225806451,62
2018.0,Romance,6.92704918032787,61
2018.0,Shounen,7.337000000000001,40
2018.0,Slice of Life,6.62875,96
2018.0,School,6.956607142857143,56
2019.0,Comedy,6.77,18
2019.0,Action,6.673529411764706,17
2019.0,Adventure,6.8462499999999995,8
2019.0,Fantasy,6.53,13
2019.0,Sci-Fi,5.938750000000001,8
2019.0,Drama,6.99625,8
2019.0,Romance,7.123,10
2019.0,Shounen,7.984,5
2019.0,Slice of Life,6.53875,8
2019.0,School,6.88,12
